City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,avarua,-21.2078,-159.775,27.03,74,46,5.66,CK,1684981747
83,yuzhno-kurilsk,44.0306,145.8556,14.3,58,0,4.47,RU,1684981912
84,mount pearl,47.5166,-52.7813,6.19,84,0,5.14,CA,1684981912
85,gizo,-8.103,156.8419,26.71,86,100,4.01,SB,1684981912
86,kapenguria,1.2511,35.0895,13.03,86,25,1.85,KE,1684981912
87,blackmans bay,-43.0167,147.3167,13.18,69,87,5.21,AU,1684981743
88,uturoa,-16.7333,-151.4333,27.46,69,10,1.56,PF,1684981749
89,hope,33.6671,-93.5916,23.03,77,44,2.66,US,1684981913
90,hermanus,-34.4187,19.2345,13.22,87,98,8.27,ZA,1684981913
91,arraial do cabo,-22.9661,-42.0278,22.02,84,0,4.18,BR,1684981913
92,kosikha,53.3617,84.5822,13.24,40,55,3.87,RU,1684981913
93,medina,24.4686,39.6142,23.24,73,0,1.03,SA,1684981883
94,keflavik,64.0049,-22.5624,6.95,70,75,11.32,IS,1684981752
95,gebeit,21.0667,36.3167,25.5,57,6,1.18,SD,1684981913
96,afaahiti,-17.75,-149.2833,27.93,77,46,2.95,PF,1684981913
97,fougamou,-1.2154,10.5838,23.39,99,81,0.65,GA,1684981913
98,paita,-5.0892,-81.1144,24.14,79,45,5.19,PE,1684981913
99,bilokurakyne,49.5341,38.7307,15.98,92,16,1.87,UA,1684981914
100,mount gambier,-37.8333,140.7667,13.51,65,69,6.52,AU,1684981914
101,myitkyina,25.3833,97.4,27.83,65,100,0.69,MM,1684981914
102,georgetown,5.4112,100.3354,30.96,74,20,2.06,MY,1684981847
103,ust-nera,64.5667,143.2,3.91,89,89,1.89,RU,1684981914
104,port-vila,-17.7338,168.3219,25.78,65,75,7.72,VU,1684981914
105,tekeli,44.83,78.8239,13.67,41,0,1.67,KZ,1684981914
106,bridlington,54.0831,-0.1919,10.5,89,24,2.67,GB,1684981914
107,talcahuano,-36.7167,-73.1167,12.82,100,100,2.06,CL,1684981914
108,gastouni,37.85,21.25,17.36,100,0,0.0,GR,1684981914
109,tazacorte,28.629,-17.9293,18.54,82,100,3.13,ES,1684981746
110,viedma,-40.8135,-62.9967,11.47,36,61,4.4,AR,1684981915
111,fortaleza,-3.7227,-38.5247,26.07,89,20,2.06,BR,1684981915
112,mao,39.8885,4.2658,15.31,100,0,1.03,ES,1684981915
113,namtsy,62.7161,129.6658,11.56,37,59,2.4,RU,1684981915
114,vorkuta,67.5,64.0,13.05,65,100,5.21,RU,1684981915
115,washington,47.5001,-120.5015,21.22,46,84,0.5,US,1684981643
116,westport,41.1415,-73.3579,15.02,84,100,3.09,US,1684981915
117,palmer,42.1584,-72.3287,12.78,81,75,3.09,US,1684981854
118,geraldton,-28.7667,114.6,17.23,51,0,9.26,AU,1684981915
119,la ronge,55.1001,-105.2842,10.14,93,100,2.06,CA,1684981915
120,east ballina,-28.8667,153.5833,23.78,56,0,4.06,AU,1684981915
121,kievka,50.2619,71.5514,19.74,36,7,3.04,KZ,1684981916
122,pisco,-13.7,-76.2167,21.03,83,0,5.14,PE,1684981756
123,taoyuan city,24.9937,121.297,28.87,84,75,2.06,TW,1684981916
124,hawaiian paradise park,19.5933,-154.9731,25.73,81,100,7.2,US,1684981727
125,acarau,-2.8856,-40.12,25.06,85,98,4.66,BR,1684981916
126,cabedelo,-6.9811,-34.8339,24.37,84,3,3.07,BR,1684981712
127,punta arenas,-53.15,-70.9167,4.06,65,0,11.32,CL,1684981843
128,sinop,41.7711,34.8709,11.38,85,4,1.74,TR,1684981916
129,iskateley,67.6803,53.1512,16.31,75,98,3.82,RU,1684981916
